Name,Email,Gender,Pref. 1,Pref 2.,Pref 3.
Adam,Adam@domain.com,male,2,3,4
Barry,Barry@domain.com,male,2,3,4
Claire,Claire@domain.com,female,2,16,4
Donald,Donald@domain.com,male,16,15,10
Evan,Evan@domain.com,male,2,5,3
Fred,Fred@domain.com,male,3,6,5
Gavin,Gavin@domain.com,male,4,7,8
Holly,Holly@domain.com,female,5,8,4
Iver,Iver@domain.com,male,6,9,2
John,John@domain.com,male,7,10,1
Katherine,Katherine@domain.com,female,8,11,9
Lucy,Lucy@domain.com,female,9,12,10
Amelia,Amelia@domain.com,female,10,13,11
Ursula,Ursula@domain.com,female,11,14,6
Ada,Ada@domain.com,female,12,15,10
